1.13	1097.34513	1.97327E-5	7.30314E-5	1.511E-4	2.45219E-4	3.46762E-4	4.472E-4	5.3812E-4	6.11228E-4	6.58362E-4	6.71505E-4	6.42789E-4
1.135	1092.51101	2.0191E-5	7.47786E-5	1.54837E-4	2.51522E-4	3.56077E-4	4.59852E-4	5.5431E-4	6.31035E-4	6.81751E-4	6.98322E-4	6.72768E-4
1.14	1087.7193	2.06583E-5	7.65602E-5	1.5865E-4	2.57951E-4	3.65583E-4	4.72767E-4	5.7084E-4	6.51268E-4	7.0565E-4	7.25737E-4	7.03434E-4
1.145	1082.96943	2.11348E-5	7.8377E-5	1.62538E-4	2.64511E-4	3.75283E-4	4.85949E-4	5.87719E-4	6.71933E-4	7.30071E-4	7.53763E-4	7.34799E-4
1.15	1078.26087	2.16205E-5	8.02296E-5	1.66504E-4	2.71203E-4	3.85181E-4	4.99403E-4	6.0495E-4	6.93038E-4	7.55021E-4	7.8241E-4	7.66875E-4
1.155	1073.59307	2.21157E-5	8.21188E-5	1.70549E-4	2.78029E-4	3.95281E-4	5.13134E-4	6.22542E-4	7.14591E-4	7.80511E-4	8.11688E-4	7.99675E-4
1.16	1068.96552	2.26206E-5	8.4045E-5	1.74674E-4	2.84992E-4	4.05585E-4	5.27148E-4	6.40501E-4	7.36601E-4	8.06549E-4	8.41609E-4	8.33211E-4
1.165	1064.37768	2.31353E-5	8.60092E-5	1.7888E-4	2.92095E-4	4.16098E-4	5.41449E-4	6.58833E-4	7.59075E-4	8.33147E-4	8.72185E-4	8.67497E-4
1.17	1059.82906	2.36601E-5	8.80119E-5	1.83171E-4	2.99339E-4	4.26823E-4	5.56042E-4	6.77545E-4	7.82021E-4	8.60313E-4	9.03426E-4	9.02544E-4
1.175	1055.31915	2.41951E-5	9.00539E-5	1.87546E-4	3.06729E-4	4.37765E-4	5.70934E-4	6.96644E-4	8.05449E-4	8.88057E-4	9.35345E-4	9.38367E-4
1.18	1050.84746	2.47404E-5	9.2136E-5	1.92007E-4	3.14266E-4	4.48928E-4	5.86129E-4	7.16137E-4	8.29367E-4	9.16391E-4	9.67953E-4	9.74978E-4
1.185	1046.4135	2.52964E-5	9.42589E-5	1.96557E-4	3.21953E-4	4.60316E-4	6.01634E-4	7.36032E-4	8.53784E-4	9.45325E-4	0.001	0.00101
1.19	1042.01681	2.58633E-5	9.64234E-5	2.01197E-4	3.29794E-4	4.71932E-4	6.17453E-4	7.56335E-4	8.78709E-4	9.74869E-4	0.00104	0.00105
1.195	1037.6569	2.64411E-5	9.86303E-5	2.05928E-4	3.3779E-4	4.83782E-4	6.33593E-4	7.77055E-4	9.04152E-4	0.00101	0.00107	0.00109
1.2	1033.33333	2.70302E-5	1.0088E-4	2.10753E-4	3.45946E-4	4.95869E-4	6.5006E-4	7.98199E-4	9.30121E-4	0.00104	0.00111	0.00113
1.205	1029.04564	2.76307E-5	1.03175E-4	2.15673E-4	3.54264E-4	5.08199E-4	6.66861E-4	8.19775E-4	9.56627E-4	0.00107	0.00114	0.00117
1.21	1024.79339	2.8243E-5	1.05514E-4	2.2069E-4	3.62746E-4	5.20776E-4	6.84E-4	8.4179E-4	9.83679E-4	0.0011	0.00118	0.00121
